"subj","phase","block","trial","stim","resp","rt","pstimL","pstimR","outcome","date"
1,2,1,1,"A",10,7.481,"banana","","","2016_Oct_18_1421"
1,2,1,2,"B",7,13.749,"","strawberry","","2016_Oct_18_1421"
1,2,1,3,"AC",10,6.89,"banana","pear","","2016_Oct_18_1421"
1,2,1,4,"A",10,2.661,"","banana","","2016_Oct_18_1421"
1,2,1,5,"BC",3,13.106,"strawberry","pear","","2016_Oct_18_1421"
1,2,1,6,"XY",3,7.615,"apple","orange","","2016_Oct_18_1421"
1,2,1,7,"Y",0,3.568,"","orange","","2016_Oct_18_1421"
1,2,1,8,"Y",0,2.599,"orange","","","2016_Oct_18_1421"
1,2,1,9,"C",0,1.632,"","pear","","2016_Oct_18_1421"
1,2,1,10,"AB",10,3.458,"strawberry","banana","","2016_Oct_18_1421"
1,2,1,11,"AY",10,9.49,"orange","banana","","2016_Oct_18_1421"
1,2,1,12,"AC",10,1.817,"pear","banana","","2016_Oct_18_1421"
1,2,1,13,"BY",7,3.464,"orange","strawberry","","2016_Oct_18_1421"
1,2,1,14,"B",5,4.04,"strawberry","","","2016_Oct_18_1421"
1,2,1,15,"AB",10,3.554,"banana","strawberry","","2016_Oct_18_1421"
1,2,1,16,"XY",5,7.226,"orange","apple","","2016_Oct_18_1421"
1,2,1,17,"BC",5,2.802,"pear","strawberry","","2016_Oct_18_1421"
1,2,1,18,"CY",0,3.021,"pear","orange","","2016_Oct_18_1421"
1,2,1,19,"BX",5,3.114,"strawberry","apple","","2016_Oct_18_1421"
1,2,1,20,"CX",5,6.521,"pear","apple","","2016_Oct_18_1421"
1,2,1,21,"AX",10,3.818,"apple","banana","","2016_Oct_18_1421"
1,2,1,22,"X",5,2.255,"","apple","","2016_Oct_18_1421"
1,2,1,23,"CY",0,2.193,"orange","pear","","2016_Oct_18_1421"
1,2,1,24,"CX",5,6.083,"apple","pear","","2016_Oct_18_1421"
1,2,1,25,"C",0,4.07,"pear","","","2016_Oct_18_1421"
1,2,1,26,"BX",5,5.287,"apple","strawberry","","2016_Oct_18_1421"
1,2,1,27,"AX",10,8.022,"banana","apple","","2016_Oct_18_1421"
1,2,1,28,"X",5,2.851,"apple","","","2016_Oct_18_1421"
1,2,1,29,"AY",10,2.068,"banana","orange","","2016_Oct_18_1421"
1,2,1,30,"BY",5,4.85,"strawberry","orange","","2016_Oct_18_1421"
1,2,2,31,"CX",5,1.24,"pear","apple","","2016_Oct_18_1421"
1,2,2,32,"AC",10,2.724,"pear","banana","","2016_Oct_18_1421"
1,2,2,33,"BY",5,2.82,"orange","strawberry","","2016_Oct_18_1421"
1,2,2,34,"CY",0,3.286,"pear","orange","","2016_Oct_18_1421"
1,2,2,35,"BC",5,2.833,"strawberry","pear","","2016_Oct_18_1421"
1,2,2,36,"BY",5,3.224,"strawberry","orange","","2016_Oct_18_1421"
1,2,2,37,"B",5,1.927,"strawberry","","","2016_Oct_18_1421"
1,2,2,38,"Y",0,3.445,"orange","","","2016_Oct_18_1421"
1,2,2,39,"CY",0,2.536,"orange","pear","","2016_Oct_18_1421"
1,2,2,40,"AB",10,4.318,"banana","strawberry","","2016_Oct_18_1421"
1,2,2,41,"AX",10,2.07,"banana","apple","","2016_Oct_18_1421"
1,2,2,42,"CX",5,7.074,"apple","pear","","2016_Oct_18_1421"
1,2,2,43,"AC",10,1.724,"banana","pear","","2016_Oct_18_1421"
1,2,2,44,"Y",0,2.414,"","orange","","2016_Oct_18_1421"
1,2,2,45,"C",0,1.927,"pear","","","2016_Oct_18_1421"
1,2,2,46,"XY",5,6.929,"apple","orange","","2016_Oct_18_1421"
1,2,2,47,"BX",5,4.371,"strawberry","apple","","2016_Oct_18_1421"
1,2,2,48,"AY",10,1.761,"banana","orange","","2016_Oct_18_1421"
1,2,2,49,"B",5,6.505,"","strawberry","","2016_Oct_18_1421"
1,2,2,50,"A",10,2.599,"banana","","","2016_Oct_18_1421"
1,2,2,51,"XY",5,21.751,"orange","apple","","2016_Oct_18_1421"
1,2,2,52,"AB",10,2.648,"strawberry","banana","","2016_Oct_18_1421"
1,2,2,53,"X",5,2.821,"","apple","","2016_Oct_18_1421"
1,2,2,54,"AY",10,2.693,"orange","banana","","2016_Oct_18_1421"
1,2,2,55,"AX",10,1.146,"apple","banana","","2016_Oct_18_1421"
1,2,2,56,"C",0,2.552,"","pear","","2016_Oct_18_1421"
1,2,2,57,"A",10,1.911,"","banana","","2016_Oct_18_1421"
1,2,2,58,"BC",5,3.161,"pear","strawberry","","2016_Oct_18_1421"
1,2,2,59,"X",5,1.271,"apple","","","2016_Oct_18_1421"
1,2,2,60,"BX",5,3.68,"apple","strawberry","","2016_Oct_18_1421"
1,2,3,61,"CX",5,3.193,"pear","apple","","2016_Oct_18_1421"
