"subj","phase","block","trial","stim","resp","rt","pstimL","pstimR","outcome","date"
1,1,1,1,"A",0,9.20662720804,"","banana","Stomach Ache","2016_Oct_18_1421"
1,1,1,2,"AX",1,7.12753133324,"banana","apple","Stomach Ache","2016_Oct_18_1421"
1,1,1,3,"BY",1,24.0487483326,"orange","strawberry","Stomach Ache","2016_Oct_18_1421"
1,1,1,4,"CY",1,13.7511263934,"orange","pear","No Stomach Ache","2016_Oct_18_1421"
1,1,1,5,"BY",1,6.17279264377,"strawberry","orange","Stomach Ache","2016_Oct_18_1421"
1,1,1,6,"A",1,4.37713332078,"banana","","Stomach Ache","2016_Oct_18_1421"
1,1,1,7,"CY",1,22.2983335257,"pear","orange","No Stomach Ache","2016_Oct_18_1421"
1,1,1,8,"AX",1,7.68839358439,"apple","banana","Stomach Ache","2016_Oct_18_1421"
1,1,2,9,"AX",1,2.34429180517,"apple","banana","Stomach Ache","2016_Oct_18_1421"
1,1,2,10,"CY",0,3.15672130353,"pear","orange","No Stomach Ache","2016_Oct_18_1421"
1,1,2,11,"AX",1,4.78182941768,"banana","apple","Stomach Ache","2016_Oct_18_1421"
1,1,2,12,"A",1,2.68809470569,"banana","","Stomach Ache","2016_Oct_18_1421"
1,1,2,13,"BY",0,4.75098519569,"orange","strawberry","Stomach Ache","2016_Oct_18_1421"
1,1,2,14,"CY",0,2.90683381073,"orange","pear","No Stomach Ache","2016_Oct_18_1421"
1,1,2,15,"A",1,3.06434725167,"","banana","Stomach Ache","2016_Oct_18_1421"
1,1,2,16,"BY",0,4.15685472597,"strawberry","orange","Stomach Ache","2016_Oct_18_1421"
1,1,3,17,"CY",0,1.3129605446,"orange","pear","No Stomach Ache","2016_Oct_18_1421"
1,1,3,18,"BY",1,3.1912839376,"orange","strawberry","Stomach Ache","2016_Oct_18_1421"
1,1,3,19,"CY",0,2.68936952762,"pear","orange","No Stomach Ache","2016_Oct_18_1421"
1,1,3,20,"BY",1,2.40698138397,"strawberry","orange","Stomach Ache","2016_Oct_18_1421"
1,1,3,21,"A",1,1.50009563495,"","banana","Stomach Ache","2016_Oct_18_1421"
1,1,3,22,"AX",1,1.12564444757,"apple","banana","Stomach Ache","2016_Oct_18_1421"
1,1,3,23,"A",1,0.814904189319,"banana","","Stomach Ache","2016_Oct_18_1421"
1,1,3,24,"AX",1,1.09395055159,"banana","apple","Stomach Ache","2016_Oct_18_1421"
